refcode;scale;description;category;brand;ctns;price_eu
LS 020A;1:18;BMW 323 Alpina, 1983 gray;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 020B;1:18;BMW 323 Alpina, 1983 white;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 020C;1:18;BMW 323 Alpina, 1983 red;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 020D;1:18;BMW 323 Alpina, 1983 green;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 020E;1:18;BMW 323 Alpina, 1983 dark gray;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 022A;1:18;Porsche 928 S4 blue;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 022B;1:18;Porsche 928 S4 black;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 022C;1:18;Porsche 928 Club Sport 1988 white;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 022D;1:18;Porsche 928 Club Sport 1988 red;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 022DC;1:18;Porsche 928 S4 red;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 023A;1:18;Porsche 944 turbo S red;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 023B;1:18;Porsche 944 turbo  S silver;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 023C;1:18;Porsche 944 turbo S black;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 023DC;1:18;Porsche 944 - white special color ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 023E;1:18;Porsche 944 turbo  S metal red - black interior;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 023F;1:18;Porsche 944 turbo  S  metal blue - black interior;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 024A;1:18;Aston Martin lagonda '74 red;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 024B;1:18;Aston Martin lagonda '74 silver;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 024C;1:18;Aston Martin lagonda '74 blue;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 024D;1:18;Aston Martin lagonda '74 greay;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 025A;1:18;Jaguar XJ6 green;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 025B;1:18;Jaguar XJ6 blue;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 025C;1:18;Jaguar XJ6 bordeaux;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 025D;1:18;Jaguar XJ6 silver;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 025E;1:18;Jaguar XJ6 black;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 025F;1:18;Jaguar XJ6 blue;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 025G;1:18;Jaguar XJ6 white ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 025H;1:18;Jaguar XJ6 bronze ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 025I;1:18;Jaguar XJ6 green;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 028A;1:18;Tesla model S,2012 blue;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 028B;1:18;Tesla model S,2012 white;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 028C;1:18;Tesla model S,2012 grey;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 028D;1:18;Tesla model S facelift red ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 028E;1:18;Tesla model S facelift blue;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 028F;1:18;Tesla model S facelift grey;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 028G;1:18;Tesla model S facelift white ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 028H;1:18;Tesla model S facelift blck;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 028J;1:18;Tesla model S facelift white ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 029A;1:18;BMW Alpina B7 white ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 029B;1:18;BMW Alpina B7 green;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 029C;1:18;BMW Alpina B7black;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 029D;1:18;BMW Alpina B7 blue;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 030A;1:18;Tesla model X blu;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 030B;1:18;Tesla model X red;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 030C;1:18;Tesla model X dark ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 030D;1:18;Tesla model X white;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 030E;1:18;Tesla model X black;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 030F;1:18;Tesla model X blue ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 031A;1:18;Toyota Celica ST205 black ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 031B;1:18;Toyota Celica ST205 red;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 031C;1:18;Toyota Celica ST205 yellow;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 031D;1:18;Toyota Celica ST205 ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 032A;1:18;Toyota Celica Supra MK2, black ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 032B;1:18;Toyota Celica Supra MK2,red;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 032C;1:18;Toyota Celica Supra MK2, blue;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 032D;1:18;Toyota Celica Supra MK2,white;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 032E;1:18;waiting;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 032F;1:18;waiting;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 032G;1:18;Toyota Celica Supra MK2,brown;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 033A;1:18;Mitsubishi Starior  red;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 033B;1:18;Mitsubishi Starior blue  ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 033C;1:18;Mitsubishi Starior  black ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 033D;1:18;Mitsubishi Starior  white;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
